date,time,meter_ID,meter_value
2024-07-23,01:30,111-111-111,1863.595
2024-07-23,02:00,111-111-111,1864.212
2024-07-23,02:30,111-111-111,1864.43
2024-07-23,03:00,111-111-111,1864.657
2024-07-23,03:30,111-111-111,1865.307
2024-07-23,04:00,111-111-111,1865.55
2024-07-23,04:30,111-111-111,1865.739
2024-07-23,05:00,111-111-111,1865.899
2024-07-23,05:30,111-111-111,1865.993
2024-07-23,06:00,111-111-111,1866.171
2024-07-23,06:30,111-111-111,1866.426
2024-07-23,07:00,111-111-111,1866.754
2024-07-23,07:30,111-111-111,1866.892
2024-07-23,08:00,111-111-111,1867.35
2024-07-23,08:30,111-111-111,1868.237
2024-07-23,09:00,111-111-111,1869.214
2024-07-23,09:30,111-111-111,1870.191
2024-07-23,10:00,111-111-111,1870.723
2024-07-23,10:30,111-111-111,1871.48
2024-07-23,11:00,111-111-111,1871.631
2024-07-23,11:30,111-111-111,1871.866
2024-07-23,12:00,111-111-111,1872.643
2024-07-23,12:30,111-111-111,1872.726
2024-07-23,13:00,111-111-111,1872.874
2024-07-23,13:30,111-111-111,1873.488
2024-07-23,14:00,111-111-111,1874.134
2024-07-23,14:30,111-111-111,1874.902
2024-07-23,15:00,111-111-111,1875.344
2024-07-23,15:30,111-111-111,1875.392
2024-07-23,16:00,111-111-111,1875.996
2024-07-23,16:30,111-111-111,1876.597
2024-07-23,17:00,111-111-111,1876.945
2024-07-23,17:30,111-111-111,1877.716
2024-07-23,18:00,111-111-111,1878.013
2024-07-23,18:30,111-111-111,1878.974
2024-07-23,19:00,111-111-111,1879.961
2024-07-23,19:30,111-111-111,1880.254
2024-07-23,20:00,111-111-111,1880.301
2024-07-23,20:30,111-111-111,1880.348
2024-07-23,21:00,111-111-111,1880.478
2024-07-23,21:30,111-111-111,1880.796
2024-07-23,22:00,111-111-111,1881.227
2024-07-23,22:30,111-111-111,1881.391
2024-07-23,23:00,111-111-111,1882.085
2024-07-23,23:30,111-111-111,1882.228
