DateID;AreaID;dwelling_type_id;kwh_per_acc
2024-05-02;Orchard;1;22.486
2024-05-03;Orchard;1;24.018
2024-05-04;Orchard;1;22.199
2024-05-05;Orchard;1;23.318
2024-05-06;Orchard;1;24.255
2024-05-07;Orchard;1;23.068
2024-05-08;Orchard;1;21.649
2024-05-09;Orchard;1;23.286
2024-05-10;Orchard;1;20.505
2024-05-11;Orchard;1;24.746
2024-05-12;Orchard;1;20.612
2024-05-13;Orchard;1;21.704
2024-05-14;Orchard;1;24.728
2024-05-15;Orchard;1;22.626
2024-05-16;Orchard;1;21.128
2024-05-17;Orchard;1;21.909
2024-05-18;Orchard;1;22.668
2024-05-19;Orchard;1;21.866
2024-05-20;Orchard;1;20.516
2024-05-21;Orchard;1;21.038
2024-05-22;Orchard;1;23.429
2024-05-23;Orchard;1;19.267
2024-05-24;Orchard;1;21.454
2024-05-25;Orchard;1;19.899
2024-05-26;Orchard;1;21.012
2024-05-27;Orchard;1;24.713
2024-05-28;Orchard;1;22.483
2024-05-29;Orchard;1;19.826
2024-05-30;Orchard;1;25.022
2024-05-31;Orchard;1;21.739
